Attack 9 10	
Bush B-Individual NNP O
gave O VBD O
a O DT O
new B-Time JJ O
, O , O
stronger O JJR O
warning O NN O
that O IN O
the O DT O
war O NN B-Attack-T
could O MD O
become O VB O
drawn O VBN O
out O RP O

Attack 24 25	Attacker 20 21	Place 27 29	
Earlier B-Time RBR O
this I-Time DT O
week I-Time NN O
, O , O
Saudi B-Nation NNP O
and O CC O
U.S. O NNP O
officials B-Group NNS O
said O VBD O
they B-Group PRP O
had O VBD O
new B-Time JJ O
intelligence O NN O
pointing O VBG O
to O TO O
Osama B-Individual NNP O
bin I-Individual NNP O
Laden I-Individual NNP O
's O POS O
al-Qaida B-Non-Governmental NNP O
group B-Non-Governmental NN B-Attacker
possibly O RB O
launching O VBG O
fresh O JJ O
attacks O NNS B-Attack-T
in O IN O
the O DT O
United B-Nation NNP B-Place
States I-Nation NNPS I-Place
or O CC O
against O IN O
American B-Nation JJ O
interests O NNS O
overseas O RB O

Attack 1 2	Attacker 8 9	
The O DT O
bombings O NNS B-Attack-T
killed O VBD O
34 O CD O
people B-Group NNS O
_ O VBP O
including O VBG O
nine O CD O
attackers B-Group NNS B-Attacker
, O , O
eight O CD O
Americans B-Group NNPS O
and O CC O
two O CD O
Britons B-Group NNPS O
_ O SYM O
and O CC O
wounded O VBD O
nearly O RB O
200 O CD O
others B-Group NNS O

Attack 25 26	Target 29 30	Place 32 33	Time-Within 36 38	
On O IN O
Tuesday B-Time NNP O
, O , O
Saudi B-Nation NNP O
security O NN O
officials B-Group NNS O
said O VBD O
three O CD O
suspected O VBN O
al-Qaida B-Non-Governmental NNP O
militants B-Group NNS O
were O VBD O
arrested O VBN O
in O IN O
Jiddah B-Population-Center NNP O
, O , O
Saudi B-Nation NNP O
Arabia I-Nation NNP O
, O , O
in O IN O
sweeps O NNS O
following O VBG O
the O DT O
near-simultaneous O JJ O
suicide O NN O
attacks O NNS B-Attack-T
on O IN O
three O CD O
residential O JJ O
compounds B-Building-Grounds NNS B-Target
on O IN O
the O DT O
outskirts B-Region-General NNS B-Place
of O IN O
Riyadh B-Population-Center NNP O
on O IN O
May B-Time NNP B-Time-Within
12 I-Time CD I-Time-Within

Attack 4 5	Attacker 2 3	Attacker 17 18	Place 19 20	
Canberra B-Nation NNP O
sent O VBD O
troops B-Group NNS B-Attacker
to O TO O
fight O VB B-Attack-T
in O IN O
the O DT O
war O NN O
on O IN O
terror O NN O
in O IN O
Afghanistan B-Nation NNP O
and O CC O
alongside O IN O
U.S. O NNP O
and O CC O
British B-Nation JJ O
forces B-Group NNS B-Attacker
in O IN O
Iraq B-Nation NNP B-Place

Attack 14 15	
